participant_id,vendor_id,tranx_event,occurrence_string,budget_id,currency_id,fin_acc_id,tranx_debit,tranx_credit
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e94e,movies-Bad Boy For Life,3/1,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1325,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e990,groceries: alkalizer & detoxifier supplement,3/1,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],2928,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e952,tire gauge 120 psi,3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],720,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e955,fish & chips,3/1,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1330,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Onigilly,3/3,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],104,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e941,servers,3/3,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],31,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Fish & Farm,3/2,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],418,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e988,Rent,3/2,5f3e189bd95d06627dc8e935,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],151000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e942,"sunglasses, notebook",3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],6944,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e986,"costlip.com, idnkhtw.space",3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],2322,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e98b,PayPal Credit: Brompton,3/2,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],50000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,"soup, toothbrushes",3/3,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],2495,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,backpack,3/3,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],4306,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,vitamins,3/3,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],506,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e986,"youngrichandiconic.com, prokickballer.com",3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],2632,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e947,"Benets, $1 tip",3/4,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1032,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e99a,dinner at comedy show,3/5,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],3300,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Onigilly,3/5,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],122,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e944,clipper_card,3/5,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],2000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Hilal Guys,3/6,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],475,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,laundry,3/7,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1100,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,Groceries,3/7,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],4175,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,"Nintendo switch, gloves, jeans ",3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],41984,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e97f,Camera & lens,3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],70000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e993,burger & fries,3/7,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1009,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,RETURNED. blender bottle,3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],1182,1182
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,thunderbolt to hdmi adapter,3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],1084,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride home from CostCo with too much stuff in the rain,3/7,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],727,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,The Legend of Zelda: Breath of the Wild - Nintendo Switch,3/7,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],5370,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e945,NBA 2k20 Nintendo switch,3/8,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],3653,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Blue Light: burger & fries,3/8,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],977,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e96f,3 cookies,3/8,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],540,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e962,dinner w Christina,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],4400,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],127,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],50,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],418,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e957,medicine,3/13,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1875,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e947,dinner,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],6100,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e945,RETURNED. cords & cables,3/13,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],3795,3795
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e97c,dinner,3/12,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1653,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,supplements,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],8568,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Soluna Cafe & Lounge,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],50,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],1676,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,cable mini hdmi to hdmi,3/13,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],720,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,25 ft hdmi cable,3/12,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],1626,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,groceries,3/14,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1237,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e973,burger & fries,3/14,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],527,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,microsd card,3/12,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],4881,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b3,Thomas,3/17,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],30995,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e99d,pizza,3/17,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],2371,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride to beach,3/12,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1378,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,beach to home,3/12,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1496,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride to fedex to get atem mini,3/13,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1080,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride to car rental,3/14,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],860,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,drink,3/18,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],57,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e96f,lotta cookies,3/19,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],700,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e983,floor pump,3/20,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],4335,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,"Washing, no bedding, large washers too big ",3/20,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],825,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,"Washing, no bedding, large washers too big ",3/20,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],175,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e965,"overpaid mamma's cc, total payment was $500",3/21,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],541,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b2,"first aid kit, make up remover wipes",3/21,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],573,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Patxi's,3/21,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],869,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e998,"dates, black farmers",3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],700,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries,3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],9530,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,tools,3/22,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1626,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,selfcare tools,3/22,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],3633,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e98d,"fish & chips, gifted to local",3/22,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1400,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e99b,ok buffalo chicken sandwich & fries,3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],1948,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b5,local brewery 4 pack beer,3/22,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1214,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries for lockdown,3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],9937,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries for lockdown,3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],3699,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e943,medicine,3/23,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],10000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e969,"groceries, salsa, potatoes",3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],1457,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e959,"weight vest, taser",3/24,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],10305,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,"chips, hot sauce",3/24,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],567,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,Washing,3/27,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],875,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,Dryer,3/27,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],225,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e96f,cookies,3/27,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],200,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b0,phone bill,3/29,5f3e189bd95d06627dc8e934,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],4000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Fresco Pizza,3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],126,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Quetzal,3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],182,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Quetzal,3/24,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],50,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Organic Coop,3/25,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],232,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Organic Coop,3/26,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],235,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a9,Moving boxes,3/31,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],540,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Melt,3/30,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],103,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,cooler,3/31,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],4339,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,duct tape,3/31,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],428,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,food returns,3/31,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],0,5841
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,return Bullet Whiskey and Chocolate Caramel candy,4/2,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],0,4647
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e968,Chips,4/10,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],162,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e945,RETURNED. 50 mm lens,3/26,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],21699,18699
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93b,RETURNED. used 50 mm lens,3/27,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],14729,14729
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e98c,"gas, trip from SF to Phx",4/1,5f3e189bd95d06627dc8e939,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],3680,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e963,"sandwich, on road trip",4/1,5f3e189bd95d06627dc8e939,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],965,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e973,"dinner, snack",4/1,5f3e189bd95d06627dc8e939,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],481,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e94c,"dinner, roadtrip",4/1,5f3e189bd95d06627dc8e939,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],699,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b1,"gas, trip from SF to Phx",4/1,5f3e189bd95d06627dc8e939,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],2000,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e949,rent car for road trip,4/1,5f3e189bd95d06627dc8e939,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],9200,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,supplements,4/7,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],8038,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries for Christina & I,4/7,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],5518,2759
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e95c,The Porch-Dinner,4/5,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],5424,2712
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e968,batteries & food,4/9,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],3427,1714
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e968,snacks,4/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],862,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e968,Chips,4/10,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],162,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries for Christina & I,4/21,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],7489,3744
